code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
TN4.25.2.2	TN4	25	2	2	1	21.63	
TN501.25.2.1	TN501	25	2	1	1	18.41	
TN501.25.2.2	TN501	25	2	2	1	18.3	
TN550.25.2.1	TN550	25	2	1	1	24.24	
TN550.25.2.2	TN550	25	2	2	1	24.89	
W12-6.25.2.1	W12-6	25	2	1	1	24.64	
W12-6.25.2.2	W12-6	25	2	2	1	25.29	
W23.25.2.1	W23	25	2	1	1	24.17	
W23.25.2.2	W23	25	2	2	1	24.89	
W3-5.25.2.1	W3-5	25	2	1	1	19.37	
W3-5.25.2.2	W3-5	25	2	2	1	19.69	
Dm13.30.1.1	Dm13	30	1	1	1	36.19	
Dm13.30.1.2	Dm13	30	1	2	1	37.34	
Et12.30.1.1	Et12	30	1	1	1	39.3	
Et12.30.1.2	Et12	30	1	2	1	39.36	
Et14.30.1.1	Et14	30	1	1	1	34.14	
Et14.30.1.2	Et14	30	1	2	1	35.12	
Et17.30.1.1	Et17	30	1	1	1	32.17	
Et17.30.1.2	Et17	30	1	2	1	32.21	
Et18.30.1.1	Et18	30	1	1	1	35.53	
Et18.30.1.2	Et18	30	1	2	1	37.4	
IN12-4.30.1.1	IN12-4	30	1	1	1	37.61	
IN12-4.30.1.2	IN12-4	30	1	2	1	36.66	
IN12-8-3.30.1.1	IN12-8-3	30	1	1	1	38.04	
IN12-8-3.30.1.2	IN12-8-3	30	1	2	1	34.24	
IN12-9-4.30.1.1	IN12-9-4	30	1	1	1	30.75	
IN12-9-4.30.1.2	IN12-9-4	30	1	2	1	28.18	
IN12-9-6.30.1.1	IN12-9-6	30	1	1	1	32.02	
IN12-9-6.30.1.2	IN12-9-6	30	1	2	1	32.18	
IN12-PO-3.30.1.1	IN12-PO-3	30	1	1	1	29.97	
IN12-PO-3.30.1.2	IN12-PO-3	30	1	2	1	30.05	
Md10.30.1.1	Md10	30	1	1	1	32.61	
Md10.30.1.2	Md10	30	1	2	1	32.93	
Md3.30.1.1	Md3	30	1	1	1	34.32	
Md3.30.1.2	Md3	30	1	2	1	34.48	
Md5.30.1.1	Md5	30	1	1	1	33.48	
Md5.30.1.2	Md5	30	1	2	1	33.36	
Md6.30.1.1	Md6	30	1	1	1	32.36	
Md6.30.1.2	Md6	30	1	2	1	32.64	
Md7.30.1.1	Md7	30	1	1	1	32.45	
Md7.30.1.2	Md7	30	1	2	1	32.45	
MP144.30.1.1	MP144	30	1	1	1	24.02	
MP144.30.1.2	MP144	30	1	2	1	24.02	
MP220.30.1.1	MP220	30	1	1	1	29.94	
MP220.30.1.2	MP220	30	1	2	1	29.03	
MP223.30.1.1	MP223	30	1	1	1	24.95	
MP223.30.1.2	MP223	30	1	2	1	24.96	
MP249.30.1.1	MP249	30	1	1	1	29.87	
MP249.30.1.2	MP249	30	1	2	1	29.81	
MP250.30.1.1	MP250	30	1	1	1	29.13	
MP250.30.1.2	MP250	30	1	2	1	27.38	
MP258.30.1.1	MP258	30	1	1	1	26.48	
MP258.30.1.2	MP258	30	1	2	1	26.44	
TN262.30.1.1	TN262	30	1	1	1	28.17	
TN262.30.1.2	TN262	30	1	2	1	28.17	
TN264.30.1.1	TN264	30	1	1	1	35.82	
TN264.30.1.2	TN264	30	1	2	1	35.99	
TN270.30.1.1	TN270	30	1	1	1	30.19	
TN270.30.1.2	TN270	30	1	2	1	30.19	
TN279.30.1.1	TN279	30	1	1	1	25.37	
TN279.30.1.2	TN279	30	1	2	1	26.07	
TN280.30.1.1	TN280	30	1	1	1	31.64	
TN280.30.1.2	TN280	30	1	2	1	31.76	
TN380.30.1.1	TN380	30	1	1	1	18.69	
TN380.30.1.2	TN380	30	1	2	1	19.86	
TN4.30.1.1	TN4	30	1	1	1	22.53	
TN4.30.1.2	TN4	30	1	2	1	22.11	
TN501.30.1.1	TN501	30	1	1	1	17.28	
TN501.30.1.2	TN501	30	1	2	1	16.77	
TN550.30.1.1	TN550	30	1	1	1	21.01	
TN550.30.1.2	TN550	30	1	2	1	21.32	
W12-6.30.1.1	W12-6	30	1	1	1	23.18	
W12-6.30.1.2	W12-6	30	1	2	1	23.64	
W23.30.1.1	W23	30	1	1	1	27.41	
W23.30.1.2	W23	30	1	2	1	26.3	
W3-5.30.1.1	W3-5	30	1	1	1	20.11	
W3-5.30.1.2	W3-5	30	1	2	1	20.11	
Dm13.30.2.1	Dm13	30	2	1	1	38.14	
Dm13.30.2.2	Dm13	30	2	2	1	39.81	
Et12.30.2.1	Et12	30	2	1	1	39.73	
Et12.30.2.2	Et12	30	2	2	1	40.05	
Et14.30.2.1	Et14	30	2	1	1	36.62	
Et14.30.2.2	Et14	30	2	2	1	36.82	
Et17.30.2.1	Et17	30	2	1	1	31.59	
Et17.30.2.2	Et17	30	2	2	1	31.53	
Et18.30.2.1	Et18	30	2	1	1	35.35	
Et18.30.2.2	Et18	30	2	2	1	35.35	
IN12-4.30.2.1	IN12-4	30	2	1	1	33.9	
IN12-4.30.2.2	IN12-4	30	2	2	1	32.98	
IN12-8-3.30.2.1	IN12-8-3	30	2	1	1	38.14	
IN12-8-3.30.2.2	IN12-8-3	30	2	2	1	37.39	
IN12-9-4.30.2.1	IN12-9-4	30	2	1	1	29.31	
IN12-9-4.30.2.2	IN12-9-4	30	2	2	1	29.22	
IN12-9-6.30.2.1	IN12-9-6	30	2	1	1	32.36	
IN12-9-6.30.2.2	IN12-9-6	30	2	2	1	31.16	
IN12-PO-3.30.2.1	IN12-PO-3	30	2	1	1	31.6	
IN12-PO-3.30.2.2	IN12-PO-3	30	2	2	1	31.23	
Md10.30.2.1	Md10	30	2	1	1	30.19	
Md10.30.2.2	Md10	30	2	2	1	29.95	
Md3.30.2.1	Md3	30	2	1	1	33.05	
Md3.30.2.2	Md3	30	2	2	1	33.7	
Md5.30.2.1	Md5	30	2	1	1	33.24	
